date,origin,dest,train,dep_time,dep_delay_min,arr_delay_min,arr_delay_sec,canceled
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 3607,10:11,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 2808,10:13,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 1509,10:36,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 509,10:56,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 3608,11:11,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 2809,11:13,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 1510,11:36,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 510,11:56,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 3609,12:11,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 2810,12:13,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 1511,12:36,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 511,12:56,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 3610,13:11,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 2811,13:13,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 1512,13:36,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 512,13:56,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 3611,14:11,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 2812,14:13,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 1513,14:36,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 513,14:56,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 3612,15:11,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 2813,15:13,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 1514,15:36,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 514,15:56,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 3613,16:11,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 2814,16:13,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 1515,16:36,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 515,16:56,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 3614,17:11,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 2815,17:13,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 1516,17:36,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 516,17:56,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 3615,18:11,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 2816,18:13,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 1517,18:36,0,0,0,0
